Acct ID,Acct Name,Invoice Number,Item,Description,# of Users,Price Per User,Total
14118,Excel Micro                                                                                                                                                                                                                                                     ,122698,RTC,"02281.00 Arcane Technologies, Inc. [21430] - 02281.05 Floor Fashions of Virginia",27,0.5,13.5
14118,Excel Micro                                                                                                                                                                                                                                                     ,122698,RTC,"02425.00 Ekaru [21449] - Absolute Value, Inc 02425.19 ",7,0.5,3.5
14118,Excel Micro                                                                                                                                                                                                                                                     ,122698,RTC,02425.00 Ekaru [21449] - ACLU Massachusetts 02425.10 ,56,0.5,28
14118,Excel Micro                                                                                                                                                                                                                                                     ,122698,RTC,02425.00 Ekaru [21449] - Acton Real Estate 02425.24 ,22,0.5,11
14118,Excel Micro                                                                                                                                                                                                                                                     ,122698,RTC,02425.00 Ekaru [21449] - Advanced Technology Marketing - Mid Atlantic 02425.45 ,5,0.5,2.5
14118,Excel Micro                                                                                                                                                                                                                                                     ,122698,RTC,02425.00 Ekaru [21449] - Bay State Anesthesia 02425.34,17,0.5,8.5
14118,Excel Micro                                                                                                                                                                                                                                                     ,122698,RTC,02425.00 Ekaru [21449] - Bay State Solutions / Bay State Anesthesia,2,0.5,1
14118,Excel Micro                                                                                                                                                                                                                                                     ,122698,RTC,"02425.00 Ekaru [21449] - Carl Bindman, CPA 02425.18 ",7,0.5,3.5
14118,Excel Micro                                                                                                                                                                                                                                                     ,122698,RTC,02425.00 Ekaru [21449] - Collaborative Wealth Advisors,1,0.5,0.5
14118,Excel Micro                                                                                                                                                                                                                                                     ,122698,RTC,02425.00 Ekaru [21449] - Cox Capital Management,8,0.5,4
14118,Excel Micro                                                                                                                                                                                                                                                     ,122698,RTC,"02425.00 Ekaru [21449] - Elise B. Hoffman, Attorney at Law 02425.29 ",1,0.5,0.5
14118,Excel Micro                                                                                                                                                                                                                                                     ,122698,RTC,02425.00 Ekaru [21449] - Fabrication Services LLC,2,0.5,1
14118,Excel Micro                                                                                                                                                                                                                                                     ,122698,RTC,02425.00 Ekaru [21449] - Glanz Properties,9,0.5,4.5
14118,Excel Micro                                                                                                                                                                                                                                                     ,122698,RTC,02425.00 Ekaru [21449] - Graham Communications 02425.25 ,2,0.5,1
14118,Excel Micro                                                                                                                                                                                                                                                     ,122698,RTC,02425.00 Ekaru [21449] - Hagan and Company 02425.30,2,0.5,1
14118,Excel Micro                                                                                                                                                                                                                                                     ,122698,RTC,02425.00 Ekaru [21449] - Innovative Risk Solutions Insurance Agency,3,0.5,1.5
14118,Excel Micro                                                                                                                                                                                                                                                     ,122698,RTC,"02425.00 Ekaru [21449] - John E. Boeing Company, Inc. 02425.49 ",27,0.5,13.5
14118,Excel Micro                                                                                                                                                                                                                                                     ,122698,RTC,02425.00 Ekaru [21449] - Lambda Research 02425.05 ,32,0.5,16
14118,Excel Micro                                                                                                                                                                                                                                                     ,122698,RTC,02425.00 Ekaru [21449] - Licensing Compliance Group,1,0.5,0.5
14118,Excel Micro                                                                                                                                                                                                                                                     ,122698,RTC,"02425.00 Ekaru [21449] - Max Bauer, CPA",1,0.5,0.5
14118,Excel Micro                                                                                                                                                                                                                                                     ,122698,RTC,"02425.00 Ekaru [21449] - McCue, Lee & Greene, LLP 02425.07 ",10,0.5,5
14118,Excel Micro                                                                                                                                                                                                                                                     ,122698,RTC,02425.00 Ekaru [21449] - MJA Consulting,1,0.5,0.5
